,Country,Deaths / million,Deaths,Cases
0,World[a],872,6960770,771150460
1,Peru,6511,221704,4520727
2,Bulgaria,5664,38414,1302188
3,Bosnia and Herzegovina,5057,16354,403155
4,Hungary,4896,48807,2206311
5,North Macedonia,4750,9946,349104
6,Georgia,4575,17132,1855289
7,Croatia,4553,18351,1275337
8,Slovenia,4456,9448,1345384
9,Montenegro,4232,2654,251280
10,Czech Republic,4083,42849,4651538
11,Latvia,3989,7384,976316
12,Slovakia,3750,21167,1867525
13,San Marino,3739,126,24644
14,Moldova,3704,12126,623684
15,Greece,3617,37572,5405742
16,Lithuania,3530,9710,1329905
17,Romania,3476,68341,3455207
18,Gibraltar,3458,113,20550
19,United Kingdom,3403,229765,24743787
20,United States,3331,1127152,103436829
21,Brazil,3272,704659,37721749
22,Italy,3247,191715,26082645
23,Armenia,3147,8751,449650
24,Chile,3142,61607,5288823
25,Martinique,3003,1104,230354
26,Poland,3002,119654,6523335
27,Belgium,2946,34339,4817196
28,Paraguay,2945,19971,735853
29,Trinidad and Tobago,2867,4390,191496
30,Argentina,2866,130472,10054576
31,Ukraine,2768,109918,5520483
32,European Union[b],2765,1244831,184084567
33,Russia,2764,400047,23029404
34,Colombia,2756,142977,6381470
35,Aruba,2742,292,44224
36,Portugal,2670,27424,5621015
37,Serbia,2627,18057,2552178
38,Mexico,2624,334630,7690908
39,France,2599,167985,38997490
40,Guadeloupe,2579,1021,203235
41,Bermuda,2569,165,18860
42,Spain,2562,121852,13980340
43,Austria,2520,22534,6081287
44,Guam,2421,416,52017
45,Tunisia,2381,29423,1153361
46,Sweden,2354,24834,2717141
47,Saint Lucia,2279,410,30082
48,Suriname,2278,1408,82588
49,Uruguay,2230,7634,1039238
50,Liechtenstein,2210,87,21491
51,Barbados,2201,620,110023
52,Estonia,2188,2902,602187
53,French Polynesia,2118,649,78632
54,Germany,2098,174979,38437756
55,Sint Maarten,2081,92,11051
56,Bahamas,2058,844,38084
57,British Virgin Islands,2042,64,7305
58,Ecuador,2002,36043,1069135
59,Lebanon,1994,10947,1239904
60,Andorra,1991,159,48015
61,Panama,1962,8654,1047555
62,Grenada,1897,238,19693
63,Finland,1852,10265,1486084
64,Republic of Ireland,1841,9249,1721152
65,Monaco,1836,67,17001
66,Bolivia,1832,22404,1208716
67,Puerto Rico,1825,5938,1252713
68,Costa Rica,1819,9428,1238884
69,Montserrat,1812,8,1403
70,Kosovo,1801,3210,274020
71,Hong Kong,1798,13466,2876106
72,South Africa,1712,102595,4072533
73,Belize,1697,688,71060
74,Malta,1653,882,120422
75,Iran,1653,146410,7617752
76,Switzerland,1608,14055,4413452
77,Guyana,1606,1299,73387
78,Seychelles,1605,172,50937
79,Namibia,1596,4098,171998
80,Curaçao,1595,305,45883
81,Antigua and Barbuda,1556,146,9106
82,Luxembourg,1544,1000,384378
83,Cyprus,1522,1364,660854
84,Caribbean Netherlands,1515,41,11922
85,Denmark,1500,8824,3417017
86,Jersey,1453,161,66391
87,Collectivity of Saint Martin,1445,46,12324
88,Canada,1385,53260,4712542
89,Isle of Man,1372,116,38008
90,French Guiana,1356,413,98041
91,Israel,1343,12691,4839886
92,United States Virgin Islands,1326,132,25389
93,Netherlands,1308,22986,8618815
94,Jamaica,1275,3606,156328
95,Albania,1267,3604,334090
96,Jordan,1251,14122,1746997
97,Saint Vincent and the Grenadines,1192,124,9644
98,Turkey,1188,101419,17004677
99,Eswatini,1187,1427,74996
100,Guatemala,1134,20235,1271070
101,Malaysia,1095,37194,5129131
102,Palestine,1087,5708,703228
103,New Caledonia,1082,314,80064
104,Honduras,1066,11127,474587
105,Botswana,1064,2800,330275
106,Guernsey,1057,67,35326
107,Norway,1049,5705,1489076
108,Bahrain,1043,1536,696614
109,Dominica,1017,74,15760
110,Oman,1011,4628,399449
111,Azerbaijan,997,10332,833189
112,Kazakhstan,983,19072,1502857
113,Saint Kitts and Nevis,964,46,6607
114,Fiji,951,885,69047
115,Réunion,945,921,494595
116,Libya,944,6437,507269
117,Australia,883,23129,11608166
118,Turks and Caicos Islands,852,39,6630
119,Northern Mariana Islands,827,41,14285
120,Mauritius,811,1054,309830
121,Sri Lanka,773,16882,672589
122,American Samoa,767,34,8359
123,Cuba,760,8530,1115103
124,Anguilla,755,12,3904
125,Belarus,746,7118,994037
126,Taiwan,739,17672,9970937
127,Cabo Verde,699,415,64401
128,South Korea,693,35934,34571873
129,Wallis and Futuna,689,8,3550
130,Mongolia,672,2284,1011116
131,El Salvador,667,4230,201807
132,New Zealand,645,3347,2385438
133,Maldives,603,316,186694
134,Japan,602,74694,33803572
135,Kuwait,602,2570,666333
136,Indonesia,587,161918,6813429
137,Philippines,577,66696,4113434
138,Mayotte,573,187,42027
139,Iraq,570,25375,2465545
140,Federated States of Micronesia,569,65,26547
141,Cayman Islands,538,37,31472
142,Faroe Islands,527,28,34658
143,Iceland,498,186,209142
144,Palau,497,9,6241
145,Thailand,480,34474,4757473
146,Saint Barthélemy,454,5,5507
147,Vietnam,440,43206,11623698
148,Morocco,435,16297,1276812
149,Marshall Islands,408,17,16133
150,Nepal,393,12031,1003441
151,Dominican Republic,390,4384,667073
152,India,375,532032,44998838
153,Greenland,371,21,11971
154,Brunei,363,163,311449
155,Myanmar,359,19494,641280
156,Sao Tome and Principe,351,80,6597
157,Zimbabwe,350,5718,265753
158,Saint Pierre and Miquelon,339,2,3426
159,Singapore,332,1872,2594809
160,Lesotho,306,706,34490
161,Saudi Arabia,264,9646,841469
162,Qatar,256,690,514524
163,United Arab Emirates,248,2349,1067030
164,Egypt,223,24830,516023
165,Solomon Islands,211,153,21611
166,Mauritania,210,997,63757
167,Venezuela,206,5856,552695
168,Zambia,203,4069,349287
169,Afghanistan,193,7950,226220
170,Comoros,191,160,9109
171,Kiribati,182,24,5085
172,Cambodia,182,3056,138941
173,Macau,174,121,3514
174,Bangladesh,172,29477,2045734
175,Djibouti,168,189,15690
176,Kyrgyzstan,154,1024,88889
177,Algeria,153,6881,271910
178,Syria,142,3163,57423
179,Samoa,139,31,16778
180,Gambia,137,372,12626
181,Malawi,131,2686,88986
182,Pakistan,129,30656,1580631
183,Gabon,128,307,48992
184,Cook Islands,117,2,7158
185,Senegal,113,1971,89022
186,Tonga,112,12,16825
187,Equatorial Guinea,109,183,17130
188,Sudan,107,5046,63993
189,Rwanda,106,1468,133194
190,Kenya,105,5689,343955
191,Timor-Leste,102,138,23460
192,Laos,89,671,218870
193,Tuvalu,88,1,2943
194,China[c],85,121714,99312876
195,Guinea-Bissau,84,177,9614
196,Nauru,78,1,5393
197,Somalia,77,1361,27334
198,Uganda,76,3632,171843
199,Haiti,74,860,34326
200,Cameroon,70,1974,125090
201,Mozambique,68,2249,233652
202,Papua New Guinea,66,670,46864
203,Republic of the Congo,65,389,25196
204,Yemen,64,2159,11945
205,Ethiopia,61,7574,501060
206,Liberia,55,294,7930
207,Angola,54,1936,105968
208,Madagascar,48,1425,68344
209,Ghana,43,1462,171653
210,Vanuatu,42,14,12019
211,Nicaragua,35,245,16043
212,Guinea,33,468,38563
213,Mali,32,743,33152
214,Togo,32,290,39522
215,Ivory Coast,29,835,88338
216,Uzbekistan,29,1016,174123
217,Eritrea,27,103,10189
218,Bhutan,26,21,62697
219,Central African Republic,20,113,15367
220,Burkina Faso,17,396,22056
221,Democratic Republic of the Congo,14,1468,98863
222,Sierra Leone,14,125,7766
223,Nigeria,14,3155,286572
224,Tanzania,12,846,43078
225,South Sudan,12,138,18368
226,Tajikistan,12,125,17786
227,Benin,12,163,28036
228,Niger,12,315,9515
229,Chad,10,194,7698
230,Burundi,1,15,54366
231,North Korea,0,6,1
232,Pitcairn Islands,—,—,4
233,Falkland Islands,—,—,1923
234,Niue,—,—,887
235,Turkmenistan,—,0,0
236,Vatican City,—,0,26
237,Tokelau,—,0,80
238,"Saint Helena, Ascension and Tristan da Cunha",—,—,2166
